SeqName: ORFS:ptns	Description hits against Uniprotkb Nematodes	Length	#Hits	e-Value	sim mean										
comp1959_c0_seq1|m.735	sp:ima1_caeelq22560 importin subunit alpha-1 os=caenorhabditis elegans gn=ima-1 pe=1 sv=1	526	20	0.0E0	63.8%										
comp1959_c0_seq2|m.736	sp:ima1_caeelq22560 importin subunit alpha-1 os=caenorhabditis elegans gn=ima-1 pe=1 sv=1	559	20	0.0E0	64.2%										
comp19600_c0_seq1|m.54793	tr:u6pf68_haecou6pf68 atpase domain containing protein os=haemonchus contortus gn=hcoi_01295000 pe=4 sv=1	155	20	2.5E-68	79.8%										
comp19601_c0_seq1|m.54794	tr:a0a0d6l7y1_9bilaa0a0d6l7y1 ribosomal protein l32 os=ancylostoma ceylanicum gn=anccey_13043 pe=4 sv=1	142	20	5.5E-73	90.05%										
comp19602_c0_seq1|m.54795	tr:w6ni29_haecow6ni29 ef hand domain containing protein os=haemonchus contortus gn=hcoi_01273400 pe=4 sv=1	177	20	2.4E-96	94.9%										
comp19603_c0_seq1|m.54796	tr:u6p7e6_haecou6p7e6 ribosomal protein s8 domain containing protein os=haemonchus contortus gn=hcoi_01208600 pe=3 sv=1	136	20	4.0E-71	96.15%										
comp19604_c0_seq1|m.54797	TR:C7BVV0_ANGCAC7BVV0 Uncharacterized protein OS=Angiostrongylus cantonensis PE=2 SV=1	143	2	3.7E-68	78%										
comp19605_c0_seq1|m.54798	tr:u6pre7_haecou6pre7 alpha-d-phosphohexomutase domain containing protein os=haemonchus contortus gn=hcoi_02114300 pe=3 sv=1	443	20	0.0E0	85.65%										
comp19606_c0_seq1|m.54799	tr:q867i3_oesdeq867i3 serine threonine-protein phosphatase os=oesophagostomum dentatum gn=mpp1 pe=2 sv=1	342	20	0.0E0	93.05%										
comp19608_c0_seq1|m.54800	tr:a0a0d8xxj4_dicvia0a0d8xxj4 lactoylglutathione lyase os=dictyocaulus viviparus gn=dicviv_04696 pe=4 sv=1	186	20	4.6E-94	86.2%										
comp19609_c0_seq1|m.54802	tr:u6pq36_haecou6pq36 rna-binding s4 domain containing protein os=haemonchus contortus gn=hcoi_01933100 pe=4 sv=1	191	20	3.3E-92	77.2%										
comp1960_c0_seq1|m.737	tr:u6pdz2_haecou6pdz2 kelch repeat type 1 and kelch repeat type 2 and fibronectin domain containing protein os=haemonchus contortus gn=hcoi_01336700 pe=4 sv=1	1058	20	0.0E0	72%										
comp19613_c0_seq1|m.54807	tr:a0a0d8xv72_dicvia0a0d8xv72 ribosomal protein l7ae os=dictyocaulus viviparus gn=dicviv_06226 pe=3 sv=1	125	20	3.2E-63	93.4%										
comp19614_c0_seq1|m.54808	tr:u6nnr9_haecou6nnr9 24 kda secreted protein os=haemonchus contortus gn=hcoi_00242100 pe=4 sv=1	238	20	2.3E-74	59.6%										
comp19615_c0_seq1|m.54809	tr:u6pbf1_haecou6pbf1 leucine-rich repeat and translation initiation factor if2 if5 domain containing protein os=haemonchus contortus gn=hcoi_01131300 pe=4 sv=1	974	20	0.0E0	72.45%										
comp19617_c0_seq1|m.54812	tr:w2tdw3_necamw2tdw3 histone h2a os=necator americanus gn=necame_09930 pe=3 sv=1	131	20	6.4E-66	97%										
comp19618_c0_seq1|m.54813	tr:a0a0d8y4k2_dicvia0a0d8y4k2 helix-loop-helix dna-binding domain protein os=dictyocaulus viviparus gn=dicviv_02681 pe=4 sv=1	444	20	0.0E0	87.55%										
comp19620_c0_seq1|m.54819	tr:a0a0c2cgk1_9bilaa0a0c2cgk1 complex 1 protein os=ancylostoma duodenale gn=ancduo_14343 pe=4 sv=1	164	20	1.5E-93	91.15%										
comp19621_c0_seq1|m.54820	tr:a0a0d8ycf6_dicvia0a0d8ycf6 valine--trna ligase os=dictyocaulus viviparus gn=dicviv_00148 pe=3 sv=1	103	1	9.6E-10	65%										
comp19626_c0_seq1|m.54825	tr:a0a0b1tkr2_oesdea0a0b1tkr2 atp-dependent 6-phosphofructokinase os=oesophagostomum dentatum gn=oesden_02159 pe=3 sv=1	828	20	0.0E0	87.6%										
comp19628_c0_seq1|m.54827	tr:i6qp63_dicvii6qp63 cathepsin l2 os=dictyocaulus viviparus gn=cpl-2 pe=2 sv=1	384	20	3.1E-172	87.9%										
comp19630_c0_seq1|m.54830	tr:a0a016w5r6_9bilaa0a016w5r6 aspartate aminotransferase os=ancylostoma ceylanicum gn= pe=3 sv=1	414	20	0.0E0	87.2%										
comp19633_c0_seq1|m.54834	TR:A0A0K0DKD8_ANGCAA0A0K0DKD8 Uncharacterized protein OS=Angiostrongylus cantonensis PE=4 SV=1	164	3	5.4E-34	70.33%										
comp19634_c0_seq1|m.54835	tr:a0a0d8xjt1_dicvia0a0d8xjt1 glycosyl family 18 os=dictyocaulus viviparus gn=dicviv_09884 pe=4 sv=1	1081	20	0.0E0	61.9%										
comp19636_c0_seq1|m.54838	tr:u6npw2_haecou6npw2 mitochondrial glycoprotein domain containing protein os=haemonchus contortus gn=hcoi_01304900 pe=4 sv=1	241	20	3.0E-123	84.95%										
comp19638_c0_seq1|m.54842	tr:a0a016vbt7_9bilaa0a016vbt7 lsm domain protein os=ancylostoma ceylanicum gn= pe=4 sv=1	164	20	2.8E-66	82.55%										
comp19639_c0_seq1|m.54843	tr:u6p1s7_haecou6p1s7 ubiquitin-conjugating enzyme domain containing protein os=haemonchus contortus gn=hcoi_00970100 pe=3 sv=1	153	20	8.5E-86	89.45%										
comp19640_c0_seq1|m.54844	tr:g1eus1_angcag1eus1 galectin os=angiostrongylus cantonensis pe=2 sv=1	285	20	2.5E-166	93.5%										
comp19641_c0_seq1|m.54845	tr:a0a0c2gge4_9bilaa0a0c2gge4 t-complex protein eta subunit os=ancylostoma duodenale gn=ancduo_11930 pe=3 sv=1	536	20	0.0E0	90.85%										
comp19643_c0_seq1|m.54848	tr:w2tsl9_necamw2tsl9 skp1 dimerization domain protein os=necator americanus gn=necame_07064 pe=4 sv=1	168	20	1.6E-94	93.2%										
comp19644_c0_seq1|m.54849	tr:a0a0d8y921_dicvia0a0d8y921 ezrin radixin moesin family protein os=dictyocaulus viviparus gn=dicviv_00456 pe=4 sv=1	570	20	0.0E0	84.85%										
comp19645_c0_seq1|m.54851	tr:a0a0d8xv48_dicvia0a0d8xv48 msp domain protein os=dictyocaulus viviparus gn=dicviv_06244 pe=4 sv=1	115	20	8.0E-58	88.25%										
comp19647_c0_seq1|m.54853	TR:C7TNT9_ANGCAC7TNT9 Putative uncharacterized protein (Fragment) OS=Angiostrongylus cantonensis PE=2 SV=1	111	1	9.2E-25	62%										
comp19648_c0_seq1|m.54854	tr:a0a0b1ru62_oesdea0a0b1ru62 os=oesophagostomum dentatum gn=oesden_25233 pe=4 sv=1	150	20	9.2E-70	87.3%										
comp1964_c0_seq2|m.741	---NA---	122	0	-	-										
comp19652_c0_seq1|m.54858	tr:a0a0d8y7u2_dicvia0a0d8y7u2 elongation of very long chain fatty acids protein os=dictyocaulus viviparus gn=dicviv_01575 pe=3 sv=1	315	20	0.0E0	80.4%										
comp19653_c0_seq1|m.54859	TR:A0A0K0DGG9_ANGCAA0A0K0DGG9 Uncharacterized protein OS=Angiostrongylus cantonensis PE=4 SV=1	103	1	1.8E-52	99%										
comp19655_c0_seq1|m.54861	tr:u6phr0_haecou6phr0 nadh:ubiquinone oxidoreductase domain containing protein os=haemonchus contortus gn=hcoi_01649200 pe=3 sv=1	199	20	1.2E-103	88.95%										
comp19659_c0_seq1|m.54864	tr:a0a0d8xzb6_dicvia0a0d8xzb6 synaptobrevin os=dictyocaulus viviparus gn=dicviv_06238 pe=4 sv=1	128	20	1.1E-46	91.65%										
comp1965_c0_seq1|m.742	tr:w2sfq4_necamw2sfq4 dolichol-phosphate mannosyltransferase subunit 3 os=necator americanus gn=necame_15869 pe=4 sv=1	101	20	3.3E-39	72.55%										
comp19663_c0_seq1|m.54867	tr:a0a0d8ybx5_dicvia0a0d8ybx5 med6 mediator sub complex component os=dictyocaulus viviparus gn=dicviv_00116 pe=4 sv=1	137	20	3.3E-57	73.7%										
comp19664_c0_seq1|m.54868	tr:a8wt78_caebra8wt78 protein cbg02921 os=caenorhabditis briggsae gn=cbg02921 pe=4 sv=1	327	20	6.2E-164	72.35%										
comp19666_c0_seq1|m.54870	tr:w2syn4_necamw2syn4 peptidyl-prolyl cis-trans isomerase os=necator americanus gn=necame_12736 pe=3 sv=1	184	20	2.8E-96	94.15%										
comp19667_c0_seq1|m.54871	tr:w2txs4_necamw2txs4 pdz dhr glgf domain protein os=necator americanus gn=necame_16617 pe=4 sv=1	289	20	6.9E-136	82.6%										
comp19667_c0_seq1|m.54873	---NA---	113	0	-	-										
comp19668_c0_seq1|m.54874	tr:u6nqg3_haecou6nqg3 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_155 os=haemonchus contortus gn=hcoi_00533100 pe=4 sv=1	99	10	3.5E-17	60.5%										
comp19669_c0_seq1|m.54875	tr:a0a0d8xv18_dicvia0a0d8xv18 eukaryotic initiation factor 4a-iii os=dictyocaulus viviparus gn=dicviv_05591 pe=3 sv=1	410	20	0.0E0	92.1%										
comp19671_c0_seq1|m.54878	tr:a0a0d6m6j6_9bilaa0a0d6m6j6 t-complex protein 11 os=ancylostoma ceylanicum gn=anccey_01119 pe=4 sv=1	105	20	2.1E-57	83.65%										
comp19679_c0_seq1|m.54881	tr:a0a0d8y064_dicvia0a0d8y064 ubiquitin--protein ligase os=dictyocaulus viviparus gn=dicviv_05926 pe=3 sv=1	204	20	1.2E-114	91%										
comp19680_c0_seq1|m.54882	tr:a0a0d8xux9_dicvia0a0d8xux9 cyclin domain protein os=dictyocaulus viviparus gn=dicviv_07777 pe=3 sv=1	372	20	6.0E-164	69.9%										
comp19682_c0_seq1|m.54884	tr:a0a0b1tax2_oesdea0a0b1tax2 skp1 tetramerization domain protein os=oesophagostomum dentatum gn=oesden_07139 pe=3 sv=1	119	20	5.5E-62	91.5%										
comp19683_c0_seq1|m.54885	tr:a0a016vsh6_9bilaa0a016vsh6 4-hydroxyphenylpyruvate dioxygenase os=ancylostoma ceylanicum gn= pe=3 sv=1	395	20	0.0E0	85.6%										
comp19684_c0_seq1|m.54886	tr:w2t1j6_necamw2t1j6 proteasome subunit beta type os=necator americanus gn=necame_12708 pe=3 sv=1	220	20	6.5E-116	92.85%										
comp1968_c0_seq1|m.746	tr:w2t390_necamw2t390 uso1 p115 like vesicle tethering head region os=necator americanus gn=necame_12399 pe=4 sv=1	868	20	0.0E0	80.55%										
comp19691_c0_seq1|m.54890	tr:a0a0d8y6l6_dicvia0a0d8y6l6 adenosylhomocysteinase os=dictyocaulus viviparus gn=dicviv_02018 pe=3 sv=1	445	20	0.0E0	93.35%										
comp19692_c0_seq1|m.54892	tr:a0a0d8xd02_dicvia0a0d8xd02 histone h2a os=dictyocaulus viviparus gn=dicviv_11509 pe=3 sv=1	142	20	5.3E-75	97.45%										
comp19695_c0_seq1|m.54896	tr:a0a0c2g063_9bilaa0a0c2g063 etc complex i subunit region os=ancylostoma duodenale gn=ancduo_15581 pe=4 sv=1	157	20	2.8E-83	83.05%										
comp19700_c0_seq1|m.54900	tr:a0a0c2cyw4_9bilaa0a0c2cyw4 ef hand os=ancylostoma duodenale gn=ancduo_07499 pe=4 sv=1	147	20	5.4E-82	92.4%										
comp19703_c0_seq1|m.54903	tr:a0a0d8xt10_dicvia0a0d8xt10 transthyretin-like family protein os=dictyocaulus viviparus gn=dicviv_06152 pe=4 sv=1	142	20	9.3E-75	86.6%										
comp19707_c0_seq1|m.54908	---NA---	119	0	-	-										
comp19707_c0_seq1|m.54907	tr:a0a0b1tnv2_oesdea0a0b1tnv2 ubx domain protein os=oesophagostomum dentatum gn=oesden_02500 pe=4 sv=1	155	20	9.0E-83	86.05%										
comp19708_c0_seq1|m.54909	tr:u6pmz8_haecou6pmz8 histidine triad protein domain containing protein os=haemonchus contortus gn=hcoi_01709200 pe=4 sv=1	163	20	2.9E-69	86.9%										
comp19709_c0_seq1|m.54910	tr:u6nzz6_haecou6nzz6 chaperonin cpn60 tcp-1 domain containing protein os=haemonchus contortus gn=hcoi_00561900 pe=3 sv=1	541	20	0.0E0	92.95%										
comp1970_c0_seq1|m.748	tr:u6paa8_haecou6paa8 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_3 os=haemonchus contortus gn=hcoi_01581500 pe=4 sv=1	206	2	1.3E-16	50%										
comp1970_c0_seq2|m.750	tr:u6paa8_haecou6paa8 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_3 os=haemonchus contortus gn=hcoi_01581500 pe=4 sv=1	334	5	9.0E-78	62.4%										
comp19711_c0_seq1|m.54912	tr:u6phk8_haecou6phk8 etc complex i subunit conserved region domain containing protein os=haemonchus contortus gn=hcoi_01699800 pe=4 sv=1	173	20	4.7E-86	78.05%										
comp19713_c0_seq1|m.54915	tr:a4gre3_9bilaa4gre3 macrophage migration inhibitory factor os=ancylostoma ceylanicum pe=1 sv=1	122	20	3.7E-57	88.25%										
comp19716_c0_seq1|m.54918	tr:u6nk92_haecou6nk92 microsomal signal peptidase 12 kda subunit domain containing protein os=haemonchus contortus gn=hcoi_00328700 pe=4 sv=1	115	20	1.0E-52	86.6%										
comp19719_c0_seq1|m.54921	tr:u6pyw1_haecou6pyw1 gem-associated protein 6-like protein os=haemonchus contortus gn=hcoi_02120700 pe=4 sv=1	185	17	5.4E-65	67.41%										
comp1971_c0_seq1|m.752	tr:u6p382_haecou6p382 egf domain containing protein os=haemonchus contortus gn=hcoi_00962500 pe=4 sv=1	418	20	5.5E-168	67.5%										
comp19720_c0_seq1|m.54923	---NA---	105	0	-	-										
comp19720_c0_seq1|m.54922	tr:u6ppy8_haecou6ppy8 branched-chain-amino-acid aminotransferase os=haemonchus contortus gn=hcoi_01701400 pe=3 sv=1	419	20	0.0E0	83.1%										
comp19724_c0_seq1|m.54927	tr:a0a0d8y4g0_dicvia0a0d8y4g0 surfactant protein b os=dictyocaulus viviparus gn=dicviv_02749 pe=4 sv=1	99	20	1.1E-20	65.75%										
comp19726_c0_seq1|m.54928	tr:a0a0c2glu4_9bilaa0a0c2glu4 ras family protein os=ancylostoma duodenale gn=ancduo_09844 pe=4 sv=1	183	20	7.1E-105	93.7%										
comp19726_c0_seq1|m.54929	---NA---	108	0	-	-										
comp19727_c0_seq1|m.54930	tr:a0a0d8xl03_dicvia0a0d8xl03 ubiquitin--protein ligase os=dictyocaulus viviparus gn=dicviv_08770 pe=3 sv=1	172	20	2.9E-86	96.3%										
comp1972_c0_seq1|m.754	tr:u6nfd2_haecou6nfd2 rad21 rec8 like protein domain containing protein os=haemonchus contortus gn=hcoi_00199700 pe=4 sv=1	361	13	3.2E-61	59.23%										
comp19730_c0_seq1|m.54933	tr:u6plp4_haecou6plp4 zinc finger domain containing protein os=haemonchus contortus gn=hcoi_01071300 pe=4 sv=1	297	20	9.5E-173	76.55%										
comp19732_c0_seq1|m.54935	tr:w2tg67_necamw2tg67 mitosis protein dim1 os=necator americanus gn=necame_08937 pe=4 sv=1	154	20	6.0E-81	97.45%										
comp19733_c0_seq1|m.54936	---NA---	99	0	-	-										
comp19734_c0_seq1|m.54937	tr:a0a0d8xzj1_dicvia0a0d8xzj1 nuclear transport factor 2 domain protein os=dictyocaulus viviparus gn=dicviv_03996 pe=4 sv=1	456	20	0.0E0	66.5%										
comp19735_c0_seq1|m.54939	tr:q9xx30_caeelq9xx30 os=caenorhabditis elegans gn= pe=1 sv=2	109	16	5.3E-40	66.5%										
comp19736_c0_seq1|m.54940	tr:a0a0d6m6q5_9bilaa0a0d6m6q5 vacuolar atp synthase subunit s1 os=ancylostoma ceylanicum gn=anccey_02751 pe=4 sv=1	454	20	0.0E0	64.3%										
comp19738_c0_seq1|m.54942	tr:u6ntd8_haecou6ntd8 protein os=haemonchus contortus gn=hcoi_00513500 pe=4 sv=1	626	20	0.0E0	64.1%										
comp19741_c0_seq1|m.54945	tr:a0a0d8xyh3_dicvia0a0d8xyh3 translocon-associated alpha subunit os=dictyocaulus viviparus gn=dicviv_06486 pe=4 sv=1	263	20	2.7E-149	81.75%										
comp19744_c0_seq1|m.54948	tr:u6nm96_haecou6nm96 g patch domain and kow motifs-containing os=haemonchus contortus gn=hcoi_00146800 pe=4 sv=1	465	20	0.0E0	68%										
comp19752_c0_seq1|m.54954	tr:a0a0d8xfg4_dicvia0a0d8xfg4 lysosome-associated membrane glycoprotein os=dictyocaulus viviparus gn=dicviv_11555 pe=4 sv=1	241	20	1.2E-87	67.2%										
comp19755_c0_seq1|m.54958	tr:a0a0d8y4c6_dicvia0a0d8y4c6 proteasome subunit beta type os=dictyocaulus viviparus gn=dicviv_04436 pe=3 sv=1	260	20	1.3E-134	87.95%										
comp19756_c0_seq1|m.54959	tr:u6pqh3_haecou6pqh3 ribosomal protein l9 and ubiquitin interacting motif domain containing protein os=haemonchus contortus gn=hcoi_01995100 pe=4 sv=1	353	20	0.0E0	78.05%										
comp19756_c0_seq1|m.54960	---NA---	108	0	-	-										
comp19758_c0_seq1|m.54962	tr:a0a0b1tnv2_oesdea0a0b1tnv2 ubx domain protein os=oesophagostomum dentatum gn=oesden_02500 pe=4 sv=1	148	20	1.2E-82	86.2%										
comp19759_c0_seq1|m.54964	tr:w2tjz5_necamw2tjz5 short chain dehydrogenase reductase family protein os=necator americanus gn=necame_08469 pe=4 sv=1	722	20	0.0E0	66.65%										
comp1975_c0_seq1|m.757	---NA---	115	0	-	-										
comp1975_c0_seq1|m.755	tr:u6pvw7_haecou6pvw7 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_812 os=haemonchus contortus gn=hcoi_01529500 pe=4 sv=1	196	6	4.0E-13	67.17%										
comp19762_c0_seq1|m.54968	tr:u6p975_haecou6p975 protein os=haemonchus contortus gn=hcoi_00995600 pe=4 sv=1	260	20	9.7E-124	67.8%										
comp19764_c0_seq1|m.54970	tr:a0a016st23_9bilaa0a016st23 atp subunit c os=ancylostoma ceylanicum gn= pe=4 sv=1	348	20	0.0E0	95.75%										
comp19767_c0_seq1|m.54972	tr:u6nup1_haecou6nup1 mago nashi protein domain containing protein os=haemonchus contortus gn=hcoi_01964400 pe=4 sv=1	157	20	1.1E-86	93.7%										
comp19768_c0_seq1|m.54973	tr:u6pqr5_haecou6pqr5 coiled-coil-helix-coiled-coil-helix-containing protein 1 domain containing protein os=haemonchus contortus gn=hcoi_02004500 pe=4 sv=1	158	20	1.0E-89	77.95%										
comp19772_c0_seq1|m.54978	tr:q9gpa1_caeelq9gpa1 os=caenorhabditis elegans gn= pe=1 sv=3	286	20	8.5E-91	59.15%										
comp19774_c0_seq1|m.54980	tr:w2tad7_necamw2tad7 malate dehydrogenase os=necator americanus gn=necame_00374 pe=3 sv=1	344	20	0.0E0	89.25%										
comp19777_c0_seq1|m.54983	tr:a0a0d8xds6_dicvia0a0d8xds6 importin subunit alpha os=dictyocaulus viviparus gn=dicviv_12105 pe=3 sv=1	512	20	0.0E0	86.05%										
comp19778_c0_seq1|m.54984	tr:w2tjc4_necamw2tjc4 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad1 os=necator americanus gn=necame_00249 pe=3 sv=1	111	20	6.4E-58	88.85%										
comp1977_c0_seq1|m.758	tr:u6nua7_haecou6nua7 serine threonine protein kinase-related domain containing protein os=haemonchus contortus gn=hcoi_02050000 pe=4 sv=1	313	20	7.0E-160	90.7%										
comp1977_c0_seq2|m.760	tr:a0a0d8xi87_dicvia0a0d8xi87 kinase domain protein os=dictyocaulus viviparus gn=dicviv_09610 pe=4 sv=1	153	20	4.0E-52	88.4%										
comp19780_c0_seq1|m.54985	tr:u6nvv1_haecou6nvv1 peptidase a22b domain containing protein os=haemonchus contortus gn=hcoi_00626600 pe=4 sv=1	471	20	0.0E0	80.65%										
comp19781_c0_seq1|m.54986	tr:a0a0d8xnx3_dicvia0a0d8xnx3 tetratricopeptide repeat protein os=dictyocaulus viviparus gn=dicviv_07735 pe=4 sv=1	406	20	0.0E0	78.35%										
comp19782_c0_seq1|m.54987	tr:u6ppe5_haecou6ppe5 apoptosis-inducing factor 1 os=haemonchus contortus gn=hcoi_02069400 pe=4 sv=1	108	20	1.4E-41	73.05%										
comp19784_c0_seq1|m.54990	---NA---	99	0	-	-										
comp19784_c0_seq1|m.54988	tr:w2tby3_necamw2tby3 atp subunit e os=necator americanus gn=necame_10331 pe=3 sv=1	232	20	3.0E-118	91.25%										
comp19786_c0_seq1|m.54992	tr:a0a0d8x7r7_dicvia0a0d8x7r7 pyridoxal-dependent pyridoxal binding domain protein os=dictyocaulus viviparus gn=dicviv_13435 pe=3 sv=1	483	20	0.0E0	70.3%										
comp19786_c0_seq1|m.54993	---NA---	100	0	-	-										
comp19788_c0_seq1|m.54995	---NA---	167	0	-	-										
comp19788_c0_seq1|m.54994	tr:u6p1b8_haecou6p1b8 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2430 os=haemonchus contortus gn=hcoi_00839800 pe=4 sv=1	663	20	1.0E-117	52.4%										
comp19789_c0_seq1|m.54996	tr:u6nzw7_haecou6nzw7 phosphoenolpyruvate carboxykinase domain containing protein os=haemonchus contortus gn=hcoi_00896500 pe=3 sv=1	665	20	0.0E0	91.85%										
comp1978_c0_seq2|m.762	tr:a0a016u3p6_9bilaa0a016u3p6 sodium hydrogen exchanger os=ancylostoma ceylanicum gn= pe=3 sv=1	463	20	0.0E0	67.55%										
comp19792_c0_seq1|m.54998	tr:u6p2u4_haecou6p2u4 proteasome subunit alpha type os=haemonchus contortus gn=hcoi_00870900 pe=3 sv=1	256	20	9.2E-143	92.35%										
comp19793_c0_seq1|m.54999	tr:w2sxn5_necamw2sxn5 queuine trna-ribosyltransferase os=necator americanus gn=necame_04010 pe=3 sv=1	362	20	0.0E0	94.25%										
comp19796_c0_seq1|m.55002	tr:u6pqh3_haecou6pqh3 ribosomal protein l9 and ubiquitin interacting motif domain containing protein os=haemonchus contortus gn=hcoi_01995100 pe=4 sv=1	116	19	6.5E-60	74.89%										
comp19797_c0_seq1|m.55004	tr:u6nxb5_haecou6nxb5 cre-ril-1 protein os=haemonchus contortus gn=hcoi_00847600 pe=4 sv=1	144	20	8.9E-63	80.9%										
comp19798_c0_seq1|m.55005	tr:a0a0d8xn71_dicvia0a0d8xn71 had superfamily 5 -nucleotidase os=dictyocaulus viviparus gn=dicviv_07953 pe=4 sv=1	479	20	0.0E0	65.75%										
comp1979_c0_seq1|m.763	tr:o45725_caeelo45725 npr-26 os=caenorhabditis elegans gn=npr-26 pe=3 sv=2	197	20	2.1E-80	83.35%										
comp1979_c0_seq2|m.765	tr:o45725_caeelo45725 npr-26 os=caenorhabditis elegans gn=npr-26 pe=3 sv=2	325	20	1.4E-147	86.35%										
comp19800_c0_seq1|m.55007	tr:w6nbv4_haecow6nbv4 modifier of rudimentary domain containing protein os=haemonchus contortus gn=hcoi_00850900 pe=4 sv=1	212	20	2.2E-95	76.9%										
comp19801_c0_seq1|m.55008	tr:u6put1_haecou6put1 intermembrane space-faced of tom22 domain containing protein os=haemonchus contortus gn=hcoi_01945000 pe=4 sv=1	130	20	2.9E-59	81.8%										
comp19806_c0_seq1|m.55015	---NA---	113	0	-	-										
comp19806_c0_seq1|m.55013	tr:w2txs4_necamw2txs4 pdz dhr glgf domain protein os=necator americanus gn=necame_16617 pe=4 sv=1	289	20	6.2E-136	82.55%										
comp19807_c0_seq1|m.55016	TR:A0A0K0DMN5_ANGCAA0A0K0DMN5 Uncharacterized protein OS=Angiostrongylus cantonensis PE=4 SV=1	158	3	1.3E-18	51.33%										
comp19808_c0_seq1|m.55018	tr:a0a0d8xw12_dicvia0a0d8xw12 phf5-like protein os=dictyocaulus viviparus gn=dicviv_05071 pe=4 sv=1	117	20	3.2E-59	97.45%										
comp19809_c0_seq1|m.55019	tr:u6p0u9_haecou6p0u9 wd40 repeat and transcription initiation factor iia domain containing protein os=haemonchus contortus gn=hcoi_00742100 pe=4 sv=1	109	20	3.1E-59	79.3%										
comp19811_c0_seq1|m.55020	tr:a0a0d6l6c6_9bilaa0a0d6l6c6 v-type c subunit os=ancylostoma ceylanicum gn=anccey_13967 pe=3 sv=1	164	20	1.3E-84	97.5%										
comp19812_c0_seq1|m.55021	tr:a0a0d8y6l6_dicvia0a0d8y6l6 adenosylhomocysteinase os=dictyocaulus viviparus gn=dicviv_02018 pe=3 sv=1	445	20	0.0E0	93.35%										
comp19813_c0_seq1|m.55023	tr:a0a0d8x826_dicvia0a0d8x826 tetratricopeptide repeat protein os=dictyocaulus viviparus gn=dicviv_13346 pe=4 sv=1	266	20	3.4E-148	69.5%										
comp19814_c0_seq1|m.55024	tr:c7bvu5_angcac7bvu5 iq calmodulin-binding motif domain protein os=angiostrongylus cantonensis pe=2 sv=1	143	20	2.5E-72	57.9%										
comp19816_c0_seq1|m.55026	tr:u6p8m2_haecou6p8m2 protein isoform c os=haemonchus contortus gn=hcoi_00890500 pe=4 sv=1	197	20	2.5E-64	71.25%										
comp19817_c0_seq1|m.55027	tr:a0a0d8y6u6_dicvia0a0d8y6u6 tmem9 protein os=dictyocaulus viviparus gn=dicviv_01903 pe=4 sv=1	208	20	4.7E-93	80.75%										
comp19818_c0_seq1|m.55028	tr:a0a0d8xe47_dicvia0a0d8xe47 innexin os=dictyocaulus viviparus gn=inx pe=3 sv=1	429	20	0.0E0	78.05%										
comp19819_c0_seq1|m.55029	tr:a0a0d8xzz8_dicvia0a0d8xzz8 sac3 ganp family protein os=dictyocaulus viviparus gn=dicviv_04547 pe=4 sv=1	256	20	6.8E-136	80.1%										
comp19823_c0_seq1|m.55031	tr:a0a0d8xhi8_dicvia0a0d8xhi8 aldo keto reductase family protein os=dictyocaulus viviparus gn=dicviv_12222 pe=4 sv=1	318	20	1.7E-152	78.3%										
comp19827_c0_seq1|m.55035	tr:w2t1b4_necamw2t1b4 ras family protein os=necator americanus gn=necame_12443 pe=3 sv=1	247	20	6.6E-114	94.2%										
comp19828_c0_seq1|m.55036	tr:w6ngl0_haecow6ngl0 like-sm ribonucleoprotein domain containing protein os=haemonchus contortus gn=hcoi_00151100 pe=4 sv=1	121	20	1.6E-65	93.45%										
comp19830_c0_seq1|m.55039	tr:a0a0b1ssw5_oesdea0a0b1ssw5 nadh-ubiquinone oxidoreductase b15 subunit os=oesophagostomum dentatum gn=oesden_11805 pe=4 sv=1	172	20	7.3E-99	91.4%										
comp19831_c0_seq1|m.55040	tr:a0a0d8xv53_dicvia0a0d8xv53 surf4 family protein os=dictyocaulus viviparus gn=dicviv_05510 pe=4 sv=1	277	20	5.3E-150	89.25%										
comp19832_c0_seq1|m.55042	tr:u6peh4_haecou6peh4 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_3217 os=haemonchus contortus gn=hcoi_01116400 pe=4 sv=1	112	13	4.9E-18	70.69%										
comp19833_c0_seq1|m.55044	tr:u6ng83_haecou6ng83 protein isoform a os=haemonchus contortus gn=hcoi_00076700 pe=4 sv=1	122	20	1.6E-60	70%										
comp19834_c0_seq1|m.55045	tr:a8xzl7_caebra8xzl7 protein cbg21205 os=caenorhabditis briggsae gn=cbg21205 pe=4 sv=1	166	20	5.4E-80	82.95%										
comp19835_c0_seq1|m.55046	tr:a0a0d8y3s1_dicvia0a0d8y3s1 aldehyde dehydrogenase family protein os=dictyocaulus viviparus gn=dicviv_04697 pe=3 sv=1	508	20	0.0E0	86.3%										
comp19836_c0_seq1|m.55048	tr:a0a0d8xbu1_dicvia0a0d8xbu1 f-actin capping protein alpha subunit os=dictyocaulus viviparus gn=dicviv_12821 pe=4 sv=1	290	20	6.0E-155	81.3%										
